CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM008599,125.0,2,4.166666666666667,BAIXO,0.0,1.0833333333333333,0.0,0.0,0.0,0.0
CM008615,93.45454545454545,12,3.1151515151515152,BAIXO,10.0,7.0,14.333333333333334,0.0,4.333333333333334,0.4333333333333334
CM008639,146.4,6,4.88,BAIXO,4.166666666666667,5.833333333333333,0.8333333333333334,0.0,-3.3333333333333335,-0.7999999999999999
CM008720,116.0,9,3.8666666666666667,BAIXO,30.0,31.666666666666668,18.333333333333332,0.0,-11.666666666666668,-0.38888888888888895
CM008740,69.76923076923077,14,2.325641025641026,MEDIO,9.166666666666666,5.833333333333333,6.666666666666667,0.0,-2.499999999999999,-0.27272727272727265
CM008742,140.25,5,4.675,BAIXO,1.6666666666666667,6.666666666666667,3.3333333333333335,0.0,1.6666666666666667,1.0
CM008764,161.0,2,5.366666666666666,BAIXO,1.9166666666666667,0.0,0.0,0.0,-1.9166666666666667,-1.0
CM008786,164.0,2,5.466666666666667,BAIXO,0.0,0.0,8.0,0.0,8.0,8.0
CM008790,83.75,5,2.7916666666666665,MEDIO,0.18333333333333335,0.5499999999999999,0.0,0.0,-0.18333333333333335,-1.0
CM008838,151.0,2,5.033333333333333,BAIXO,0.0,8.333333333333334,8.333333333333334,0.0,8.333333333333334,8.333333333333334
CM008854,17.0,2,0.5666666666666667,ALTO,0.0,0.0,2.5,0.0,2.5,2.5
CM008861,112.0,2,3.7333333333333334,BAIXO,3.75,0.0,0.0,0.0,-3.75,-1.0
CM008870,143.16666666666666,7,4.772222222222222,BAIXO,0.25,0.3333333333333333,0.3333333333333333,0.0,0.08333333333333331,0.33333333333333326
CM008907,2.0,2,0.06666666666666667,ALTO,0.0,0.0,1.0833333333333333,0.0,1.0833333333333333,1.0833333333333333
